Iteration, Replica 0, Replica 1, Replica 2, Replica 3
0: 0, 1, 2, 3
1: 0, 2, 1, 3
2: 0, 2, 1, 3
3: 0, 2, 1, 3
4: 0, 2, 1, 3
5: 0, 2, 1, 3
6: 2, 0, 1, 3
7: 2, 1, 0, 3
8: 2, 1, 0, 3
9: 3, 0, 1, 2
10: 3, 0, 1, 2
11: 2, 0, 1, 3
12: 2, 0, 1, 3
13: 2, 0, 1, 3
14: 2, 0, 1, 3
15: 2, 0, 1, 3
16: 2, 0, 1, 3
17: 2, 0, 1, 3
18: 2, 0, 1, 3
19: 2, 1, 0, 3
20: 1, 2, 0, 3
21: 1, 2, 0, 3
22: 1, 2, 0, 3
23: 1, 2, 0, 3
24: 2, 1, 0, 3
25: 2, 0, 1, 3
26: 2, 0, 1, 3
27: 2, 1, 0, 3
28: 2, 1, 0, 3
29: 3, 1, 0, 2
30: 3, 1, 0, 2
31: 2, 1, 0, 3
32: 2, 1, 0, 3
33: 3, 1, 0, 2
34: 3, 1, 0, 2
35: 2, 1, 0, 3
36: 1, 2, 0, 3
37: 1, 2, 0, 3
38: 2, 1, 0, 3
39: 3, 0, 1, 2
40: 3, 0, 2, 1
41: 3, 0, 2, 1
42: 3, 0, 2, 1
43: 3, 0, 2, 1
44: 3, 0, 1, 2
45: 3, 0, 1, 2
46: 3, 0, 1, 2
47: 3, 0, 1, 2
48: 3, 0, 2, 1
49: 3, 0, 2, 1
50: 3, 0, 2, 1
51: 3, 0, 2, 1
52: 3, 0, 1, 2
53: 3, 0, 1, 2
54: 3, 0, 1, 2
55: 3, 0, 1, 2
56: 3, 0, 1, 2
57: 3, 0, 1, 2
58: 3, 0, 1, 2
59: 3, 0, 1, 2
60: 3, 0, 1, 2
61: 3, 0, 1, 2
62: 3, 0, 1, 2
63: 3, 1, 0, 2
64: 3, 1, 0, 2
65: 3, 1, 0, 2
66: 3, 1, 0, 2
67: 2, 1, 0, 3
68: 1, 2, 0, 3
69: 1, 2, 0, 3
70: 1, 2, 0, 3
71: 1, 2, 0, 3
72: 1, 2, 0, 3
73: 1, 2, 0, 3
74: 2, 1, 0, 3
75: 2, 1, 0, 3
76: 2, 1, 0, 3
77: 2, 1, 0, 3
78: 1, 2, 0, 3
79: 1, 2, 0, 3
80: 1, 2, 0, 3
81: 1, 2, 0, 3
82: 1, 2, 0, 3
83: 1, 2, 0, 3
84: 1, 2, 0, 3
85: 1, 2, 0, 3
86: 2, 1, 0, 3
87: 3, 1, 0, 2
88: 3, 1, 0, 2
89: 3, 0, 1, 2
90: 3, 0, 1, 2
91: 2, 1, 0, 3
92: 2, 1, 0, 3
93: 3, 1, 0, 2
94: 3, 1, 0, 2
95: 2, 1, 0, 3
96: 2, 1, 0, 3
97: 2, 1, 0, 3
98: 2, 1, 0, 3
99: 2, 1, 0, 3
